Link hình ảnh;Mã SKU;Tên;Cân nặng(g);Chiều dài(cm);Chiều rộng(cm);Chiều cao(cm);Tên kho;Khu vực kho;Vị trí;Tổng số;Đơn hàng đã khóa;Toàn bộ kho khả dụng;Dự trữ chương trình;Đang vận tải;Tổng giá vốn hàng đang vận tải;Cảnh báo tồn kho;Dự báo bán hàng hàng ngày;Dự kiến số ngày có thể bán;Giá vốn bình quân gia quyền;Tổng giá vốn;Trạng thái bán hàng;Ngành hàng cấp 1;Ngành hàng cấp 2;Ngành hàng cấp 3;Loại SKU;Chú thích
https://res.bigseller.pro/sku/images/merchantsku/944484/293202_1765779394711.jpg?imageView2/1/w/300/h/300;1826;Jmella Sữa Tắm Hương Nước Hoa Jmella In France Body Wash 500ml - NO.5;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;0;0;0;0;0;0.00;0;0.50;0;75535.71;0.00;Còn hàng;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/252843_1763346786961.jpg?imageView2/1/w/300/h/300;1821;Jmella SET Sữa Tắm Hương Nước Hoa Jmella In France Body Wash 500ml NO.5 + Bông tắm;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;0;0;0;0;0;0.00;0;0.00;--;90659.34;0.00;Còn hàng;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/572258_1757062289877.jpg?imageView2/1/w/300/h/300;1812;JMSOLUTION Hộp 10 miếng Mặt Nạ Cá Hồi JM Solution Panthelene Intensive Barrier Mask - XANH DƯƠNG ĐẬM;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;3;0;3;0;0;0.00;0;0.00;--;11773.97;35321.91;Còn hàng;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/559949_1757062210308.jpg?imageView2/1/w/300/h/300;1811;JMSOLUTION Hộp 5 miếng Mặt Nạ Cá Hồi JM Solution Water Luminous Salmon Repair Special - CAM;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;0;0;0;0;0;0.00;0;5.00;0;60417.48;0.00;Còn hàng;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/996117_1772183272648.jpg?imageView2/1/w/300/h/300;1808;JMsolution - Mặt Nạ B5 Whitening Dưỡng Sáng & Cấp Ẩm 30ml - B5+ HYDRATING XANH ĐẬM;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;50;0;50;0;0;0.00;0;0.00;--;9120.00;456000.00;Còn hàng;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/119233_1755015058562.jpg?imageView2/1/w/300/h/300;1805;JMSolution Nước Tẩy Trang Hyaluronic Cleansing Water - SOS Ginger 500ml;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;3;0;3;0;0;0.00;0;0.00;--;0.00;0.00;Còn hàng;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/816065_1754365810727.jpg?imageView2/1/w/300/h/300;1804;JMSolution Nước Tẩy Trang Hyaluronic Cleansing Water - H9 500ml;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;8;0;8;0;0;0.00;0;0.03;266;100465.12;803720.96;Còn hàng;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/597458_1754364213718.jpg?imageView2/1/w/300/h/300;1803;JMSolution Nước Tẩy Trang Hyaluronic Cleansing Water - Ceramide 500ml;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;1;0;1;0;0;0.00;0;0.00;--;93590.91;93590.91;Còn hàng;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/832580_1776960690210.jpg?imageView2/1/w/300/h/300;1800;JMSolution Mặt nạ  DERMA CARE JELLY MASK 30ml - NGẪU NHIÊN XANH LÁ OR XANH DƯƠNG;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;0;0;0;0;0;0.00;0;0.00;--;0.00;0.00;Còn hàng;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/810788_1754366312804.jpg?imageView2/1/w/300/h/300;1798;IPEK Bông tẩy trang - 150 miếng;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;38;5;33;0;0;0.00;0;3.53;9;24745.85;940342.30;Còn hàng;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/502785_1754366219569.jpg?imageView2/1/w/300/h/300;1794;INTIMATE Dung dịch vệ sinh Intimate Ziaja 200ml - Vỏ Sồi;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;0;0;0;0;0;0.00;0;0.00;--;105618.56;0.00;Ngừng bán;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/186121_1754365818156.jpg?imageView2/1/w/300/h/300;1793;INTIMATE Dung dịch vệ sinh Intimate Ziaja 200ml - Hoa Lan Chuông;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;0;0;0;0;0;0.00;0;0.00;--;105618.56;0.00;Ngừng bán;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/306426_1771995255219.jpg?imageView2/1/w/300/h/300;1792;Sữa Dưỡng Thể Instituto Espanol 5% Urea + Pantenol Loción Corporal Cấp Ẩm, Phục Hồi Da 400ml;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;0;0;0;0;0;0.00;0;0.00;--;168476.00;0.00;Ngừng bán;Chưa chọn danh mục;;;Single SKU;
;1789;INNISFREE NEW Kem Chống Nắng Tone Up No Sebum Sunscreen EX SPF 50+ PA++++ NEW 60ML - XANH LÁ;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;0;0;0;0;0;0.00;0;0.00;--;130211.46;0.00;Còn hàng;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/927423_1754365811672.jpg?imageView2/1/w/300/h/300;1787;I'M FROM Sữa rửa mặt Ngải Cứu Mugwort Gel - 30ml;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;0;0;0;0;0;0.00;0;0.00;--;14000.00;0.00;Ngừng bán;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/636110_1767774318005.jpg?imageView2/1/w/300/h/300;1786;I'm From Mặt nạ giấy Vitamin Tree Sheet Mask 22ml;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;29;0;29;0;0;0.00;0;0.00;--;10000.00;290000.00;Còn hàng;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/690717_1755574305256.jpg?imageView2/1/w/300/h/300;1785;I'M FROM Mặt Nạ Chiết Xuất Ngải Cứu Làm Dịu Da Mugwort Sheet Mask - 20ml;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;1;0;1;0;0;0.00;0;0.00;--;10000.00;10000.00;Còn hàng;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/885671_1754998487761.jpg?imageView2/1/w/300/h/300;1784;I'M FROM Gel Dưỡng Vitamin Tree Water Gel 75g;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;4;0;4;0;0;0.00;0;0.00;--;271148.61;1084594.44;Còn hàng;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/408536_1754366312819.jpg?imageView2/1/w/300/h/300;1783;ICARE Dầu Gội Pharma Antisol dược liệu pH 6.5 240ml;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;12;0;12;0;0;0.00;0;1.39;8;183384.00;2200608.00;Còn hàng;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/823079_1754366220008.jpg?imageView2/1/w/300/h/300;1782;HYAESTIC Pure Retinol tái tạo da 30ml - 1% Retinol;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;0;0;0;0;0;0.00;0;0.00;--;1.00;0.00;Ngừng bán;Chưa chọn danh mục;;;Single SKU;
