Mã SKU;Tên;Thuộc tính phân loại;Danh mục;Xuất kho / Bán hàng;Lợi nhuận gộp hàng hóa đã giao;Tỷ suất Lợi nhuận gộp hàng hóa đã giao;Lượng bán xuất kho trung bình hàng ngày;Tồn kho khả dụng;Số ngày có thể bán;Đang vận tải;Cảnh báo tồn kho;Thời gian tạo;Link hình ảnh
Tất cả;--;--;--;63658;754124765.24;0.1815;1.67;--;--;5678;--;--;--
1002;Cọ tán son môi [XT];;Chưa chọn danh mục;2;27430;0.7967;0.06;1338;22300;0;0;13/04/2026 21:52;https://res.bigseller.pro/sku/images/merchantsku/944484/937335_1754361503301.jpg?imageView2/1/w/300/h/300
1004;Dũa móng 6 mặt [XT];;Chưa chọn danh mục;6;29500;0.6211;0.19;2241;11794;0;0;13/04/2026 21:52;https://res.bigseller.pro/sku/images/merchantsku/944484/530764_1754365814058.jpg?imageView2/1/w/300/h/300
1007;Kẹp nâng mũi Nose Nhật Bản [XT];;Chưa chọn danh mục;0;0;0;0;5;--;0;0;13/04/2026 21:52;https://res.bigseller.pro/sku/images/merchantsku/944484/208077_1754366310142.jpg?imageView2/1/w/300/h/300
1008;OEM - Cọ môi Silicon [XT];;Chưa chọn danh mục;0;0;0;0;15;--;0;0;13/04/2026 21:52;https://res.bigseller.pro/sku/images/merchantsku/944484/561846_1754365814002.jpg?imageView2/1/w/300/h/300
1010;OEM Bông Mút Tắm bọt biển [XT];;Chưa chọn danh mục;14;189956.5;0.6642;0.45;0;0;0;0;13/04/2026 21:52;https://res.bigseller.pro/sku/images/merchantsku/944484/203556_1754366217797.jpg?imageView2/1/w/300/h/300
1012;OEM Cây massage đầu thư giãn bằng tay [XT];;Chưa chọn danh mục;1;8000;0.5333;0.03;93;3100;0;0;13/04/2026 21:52;https://res.bigseller.pro/sku/images/merchantsku/944484/675789_1754365721479.jpg?imageView2/1/w/300/h/300
1013;OEM Cuộn giấy lau tay lau bếp đa năng có thể tái sử dụng 25cm;;Chưa chọn danh mục;0;0;0;0;40;--;0;0;13/04/2026 21:52;https://res.bigseller.pro/sku/images/merchantsku/944484/542353_1754366315294.jpg?imageView2/1/w/300/h/300
1014;OEM Dao nạo củ quả lưỡi xoay Nhật Bản;;Chưa chọn danh mục;0;0;0;0;3;--;0;0;13/04/2026 21:52;https://res.bigseller.pro/sku/images/merchantsku/944484/372925_1754365723355.jpg?imageView2/1/w/300/h/300
1016;OEM Găng tay tắm tẩy da chết vải nylon;;Chưa chọn danh mục;25;240214.43;0.7652;0.81;722;891;0;0;13/04/2026 21:52;https://res.bigseller.pro/sku/images/merchantsku/944484/595969_1754366313660.jpg?imageView2/1/w/300/h/300
1018;OEM Gương mini cầm tay Hàn Quốc 7cm [XT];;Chưa chọn danh mục;0;0;0;0;95;--;0;0;13/04/2026 21:52;https://res.bigseller.pro/sku/images/merchantsku/944484/157384_1754365911166.jpg?imageView2/1/w/300/h/300
1020;OEM Khăn tắm nén cotton 70x140cm - XANH [XT];;Chưa chọn danh mục;0;0;0;0;9;--;0;0;13/04/2026 21:52;https://res.bigseller.pro/sku/images/merchantsku/944484/763308_1755687689446.jpg?imageView2/1/w/300/h/300
1023;OEM Kì Gót 2 Đầu [XT];;Chưa chọn danh mục;0;0;0;0;30;--;0;0;13/04/2026 21:52;https://res.bigseller.pro/sku/images/merchantsku/944484/045740_1754365904074.jpg?imageView2/1/w/300/h/300
1024;OEM Lược Gội Đầu Silicone (KHÔNG HỘP) [XT];;Chưa chọn danh mục;0;0;0;0;239;--;0;0;13/04/2026 21:52;https://res.bigseller.pro/sku/images/merchantsku/944484/933285_1754365716286.jpg?imageView2/1/w/300/h/300
1027;OEM Miếng Dán Tóc Mái màu ngẫu nhiên - COMBO 2 MIẾNG [XT];;Chưa chọn danh mục;15;49470.75;0.8245;0.48;112;233;0;0;13/04/2026 21:52;https://res.bigseller.pro/sku/images/merchantsku/944484/402484_1754365906435.jpg?imageView2/1/w/300/h/300
1028;OEM Túi lưới đựng xà phòng tắm [XT];;Chưa chọn danh mục;6;50980;0.8682;0.19;119;626;0;0;13/04/2026 21:52;https://res.bigseller.pro/sku/images/merchantsku/944484/702950_1754365814923.jpg?imageView2/1/w/300/h/300
1029;OEM Xà Phòng Cám Gạo Jam Rice Milk Soap 60g;;Chưa chọn danh mục;124;251291.92;0.2073;4;0;0;0;0;13/04/2026 21:52;https://res.bigseller.pro/sku/images/merchantsku/944484/949619_1754919949805.jpg?imageView2/1/w/300/h/300
1031;ABONNE Muối Tắm Tẩy Tế Bào Chết Spa 350gr - SỮA BÒ;;Chưa chọn danh mục;54;426414.22;0.2683;1.74;43;24;0;0;13/04/2026 21:52;https://res.bigseller.pro/sku/images/merchantsku/944484/893167_1754998314249.jpg?imageView2/1/w/300/h/300
1032;ABONNE Muối Tắm Tẩy Tế Bào Chết Spa 350gr - VITAMIN C;;Chưa chọn danh mục;9;45943.95;0.1931;0.29;11;37;0;0;13/04/2026 21:52;https://res.bigseller.pro/sku/images/merchantsku/944484/443877_1754365816832.jpg?imageView2/1/w/300/h/300
1033;ABONNE Muối Tắm Tẩy Tế Bào Chết Spa 350gr - YOGURT;;Chưa chọn danh mục;54;184429.82;0.1359;1.74;31;17;0;0;13/04/2026 21:52;https://res.bigseller.pro/sku/images/merchantsku/944484/570974_1754365623594.jpg?imageView2/1/w/300/h/300
1035;ACNE AID SOAP BAR OIL CONTROL XÀ PHÒNG - ĐỎ;;Chưa chọn danh mục;0;0;0;0;14;--;0;0;13/04/2026 21:52;https://res.bigseller.pro/sku/images/merchantsku/944484/876839_1756125276020.jpg?imageView2/1/w/300/h/300
1036;ACNECLEAN Gel Bôi Ngoài Da Extra Gel Giúp Làm Dịu, Hạn Chế Thâm Mụn, Thông Thoáng Lỗ Chân Lông 15g;;Chưa chọn danh mục;0;0;0;0;2;--;0;0;13/04/2026 21:52;https://res.bigseller.pro/sku/images/merchantsku/944484/211870_1755488228381.jpg?imageView2/1/w/300/h/300
1038;ACNEDUO PLUS Gel Bôi Ngoài da RETINAL 1.0% AHA - 15g;;Chưa chọn danh mục;2;79470;0.35090000000000005;0.06;0;0;0;0;13/04/2026 21:52;https://res.bigseller.pro/sku/images/merchantsku/944484/852280_1757512757194.jpg?imageView2/1/w/300/h/300
1043;ADERMA Gel Rửa Mặt & Tắm Gội Douche Hydra-Protective Shower Gel Essentials 3in1 200ml;;ADERMA;5;668080;0.3456;0.16;16;100;0;0;13/04/2026 21:52;https://res.bigseller.pro/sku/images/merchantsku/944484/094914_1788877828546.jpg?imageView2/1/w/300/h/300
1044;ADERMA Kem Chống Nắng Protect Invisible Fluid SPF50+ 40ml;;ADERMA;5;0;0;0.16;4;25;0;0;13/04/2026 21:52;https://res.bigseller.pro/sku/images/merchantsku/944484/613580_1787500384826.jpg?imageView2/1/w/300/h/300
1045;ADERMA Kem Dưỡng A-derma Biology AC Perfect Anti-Blemish Fluid Giảm Mụn 40ml;;ADERMA;0;0;0;0;3;--;0;0;13/04/2026 21:52;https://res.bigseller.pro/sku/images/merchantsku/944484/780896_1787500630000.jpg?imageView2/1/w/300/h/300
1046;ADERMA Kem Dưỡng Ẩm Dermalibour+ Repairing Cream - 50ml;;ADERMA;14;1796063.17;0.3312;0.45;4;8;0;0;13/04/2026 21:52;https://res.bigseller.pro/sku/images/merchantsku/944484/531619_1754366311760.jpg?imageView2/1/w/300/h/300
1047;ADERMA Kem Dưỡng Ẩm Exomega Allergo Emollient Balm - 200ml;;ADERMA;3;518109.24;0.2705;0.1;1;10;0;0;13/04/2026 21:52;https://res.bigseller.pro/sku/images/merchantsku/944484/536167_1754365818075.jpg?imageView2/1/w/300/h/300
1048;ADERMA Kem Dưỡng Ẩm Exomega Allergo Emollient Balm - 40ml;;ADERMA;2;224808;0.33299999999999996;0.06;10;166;0;0;13/04/2026 21:52;https://res.bigseller.pro/sku/images/merchantsku/944484/774406_1754365627392.jpg?imageView2/1/w/300/h/300
